track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
Morena Canela,Que Sigan Llegando Las Pacas (Extended),Chino Pacas,corridos tumbados,80,True,2024-10-18,178336,40.0,2.9722666666666666,2024
My Way,96 Months,Calvin Harris,edm,82,False,2024-08-08,219159,41.0,3.65265,2024
Santa,Santa,Rvssian,trap latino,81,False,2024-04-03,193038,40.5,3.2173,2024
SANTAL 33,ÉXODO,Peso Pluma,corrido,80,True,2024-06-20,190303,40.0,3.1717166666666667,2024
The Emptiness Machine,From Zero,Linkin Park,nu metal,85,True,2024-11-15,190427,42.5,3.173783333333333,2024
Rey Sin Reina,Atento Aviso ... Rey Sin Reina,Julión Álvarez y su Norteño Banda,banda,81,False,2024-09-05,150523,40.5,2.5087166666666665,2024
ÁNGEL,ÁNGEL,Grupo Frontera,cumbia norteña,80,False,2024-07-25,184095,40.0,3.06825,2024
Illusion,Radical Optimism,Dua Lipa,pop,81,False,2024-05-03,188143,40.5,3.1357166666666667,2024
オトノケ - Otonoke,オトノケ - Otonoke,Creepy Nuts,anime,79,False,2024-10-04,185626,39.5,3.0937666666666668,2024
Whiplash,Whiplash - The 5th Mini Album,aespa,k-pop,78,False,2024-10-21,183226,39.0,3.0537666666666667,2024
gervonta,gervonta,Peso Pluma,corrido,80,True,2024-12-05,167367,40.0,2.78945,2024
Funk de Beleza - Slowed,Funk de Beleza,Nateki,phonk,85,True,2024-10-04,145115,42.5,2.4185833333333333,2024
BELANOVA,ÉXODO,Peso Pluma,corrido,79,True,2024-06-20,164822,39.5,2.7470333333333334,2024
Whatever,Whatever,Kygo,tropical house,82,False,2024-01-19,178273,41.0,2.971216666666667,2024
"She’s Gone, Dance On","She’s Gone, Dance On",Disclosure,house,78,False,2024-05-29,226773,39.0,3.77955,2024
flashes,flashes,RØZ,electro corridos,83,False,2024-10-25,185076,41.5,3.0846,2024
