track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
party 4 u,how i'm feeling now,Charli xcx,hyperpop,93,False,2020-05-15,296653,46.5,4.944216666666667,2020
You Should Probably Leave,Starting Over,Chris Stapleton,country,86,False,2020-11-13,213493,43.0,3.5582166666666666,2020
The Thrill,The Thrill (feat. Empire of the Sun),Wiz Khalifa,rap,87,True,2020-11-11,234333,43.5,3.90555,2020
Took Her To The O,Levon James,King Von,chicago drill,84,True,2020-03-06,196179,42.0,3.26965,2020
Starting Over,Starting Over,Chris Stapleton,country,82,False,2020-11-13,240413,41.0,4.006883333333334,2020
Borderline,The Slow Rush,Tame Impala,neo-psychedelic,85,False,2020-02-14,237800,42.5,3.9633333333333334,2020
Armed & Dangerous,Welcome to O'Block,King Von,chicago drill,82,True,2020-10-30,122680,41.0,2.0446666666666666,2020
Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,Diplo,moombahton,79,True,2020-05-29,169226,39.5,2.8204333333333333,2020
Revival,Elisabeth,Zach Bryan,country,80,False,2020-05-08,221250,40.0,3.6875,2020
The Adults Are Talking,The New Abnormal,The Strokes,garage rock,83,False,2020-04-10,309053,41.5,5.150883333333334,2020
Sky,Whole Lotta Red,Playboi Carti,rage rap,82,True,2020-12-25,193234,41.0,3.2205666666666666,2020
"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,emo rap,80,True,2020-02-14,168489,40.0,2.80815,2020
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,pop,85,False,2020-03-27,203064,42.5,3.3844,2020
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,rap,84,True,2020-01-17,210800,42.0,3.513333333333333,2020
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,country,79,False,2020-10-23,232533,39.5,3.87555,2020
Will I See You Again?,Will I See You Again?,Thee Sacred Souls,retro soul,80,False,2020-12-01,240653,40.0,4.010883333333333,2020
Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,Drake,rap,81,True,2020-05-01,269680,40.5,4.494666666666666,2020
Sorrows,A N N I V E R S A R Y,Bryson Tiller,trap soul,80,False,2020-10-02,193702,40.0,3.2283666666666666,2020
Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),Ozzy Osbourne,metal,80,False,2020-09-18,293183,40.0,4.886383333333334,2020
Wishing Well,Legends Never Die,Juice WRLD,melodic rap,80,True,2020-07-10,194621,40.0,3.2436833333333333,2020
Joy Of My Life,Starting Over,Chris Stapleton,country,78,False,2020-11-13,274520,39.0,4.575333333333333,2020
Yale,Teen X,Ken Carson,rage rap,79,True,2020-08-14,106536,39.5,1.7756,2020
Homecoming,Eternal Atake,Lil Uzi Vert,melodic rap,78,True,2020-03-06,213884,39.0,3.5647333333333333,2020
Clouded,Fuck The World,Brent Faiyaz,r&b,79,True,2020-02-07,110128,39.5,1.8354666666666666,2020
Don't Start Now,Future Nostalgia,Dua Lipa,pop,85,False,2020-03-27,183290,42.5,3.0548333333333333,2020
Been Away,Fuck The World,Brent Faiyaz,r&b,79,True,2020-02-07,223629,39.5,3.72715,2020
Gratitude,House Of Miracles,Brandon Lake,worship,76,False,2020-08-28,337560,38.0,5.626,2020
Azul,Colores,J Balvin,reggaeton,86,False,2020-03-19,205933,43.0,3.4322166666666667,2020
One Of Them Girls,Hey World,Lee Brice,country,75,False,2020-11-20,188893,37.5,3.148216666666667,2020
Texas Sun,Texas Sun,Khruangbin,neo-psychedelic,80,False,2020-02-07,252811,40.0,4.213516666666667,2020
I Hope,Goldmine,Gabby Barrett,country,76,False,2020-06-19,210772,38.0,3.5128666666666666,2020
Like I Want You,TAKE TIME,GIVĒON,r&b,80,False,2020-03-27,260776,40.0,4.346266666666667,2020
Cold,Starting Over,Chris Stapleton,country,76,False,2020-11-13,309853,38.0,5.1642166666666665,2020
Black Creek,No Place Left to Leave (2006),Brent Cobb,outlaw country,76,False,2020-02-07,212453,38.0,3.5408833333333334,2020
The Good Ones,Goldmine,Gabby Barrett,country,75,False,2020-06-19,215140,37.5,3.5856666666666666,2020
Body Like A Back Road,SOUTHSIDE,Sam Hunt,country,75,False,2020-04-03,162546,37.5,2.7091,2020
GIVE HEAVEN SOME HELL,A ROCK,HARDY,country,74,False,2020-09-04,217801,37.0,3.6300166666666667,2020
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,rap,80,True,2020-05-01,220487,40.0,3.6747833333333335,2020
Drunk Driving,Sellout,Koe Wetzel,red dirt,73,False,2020-11-20,238211,36.5,3.9701833333333334,2020
Save Me,Self Medicated,Jelly Roll,country hip hop,74,False,2020-10-16,240722,37.0,4.012033333333333,2020
Come & Go (with Marshmello),Legends Never Die,Juice WRLD,melodic rap,77,True,2020-07-10,205484,38.5,3.424733333333333,2020
ILoveUIHateU,Whole Lotta Red,Playboi Carti,rage rap,77,True,2020-12-25,135122,38.5,2.2520333333333333,2020
Jugaste y Sufrí,Corta Venas,Eslabon Armado,corridos tumbados,78,False,2020-12-18,275194,39.0,4.586566666666666,2020
Excitement,Pegasus,Trippie Redd,melodic rap,76,False,2020-10-30,283285,38.0,4.721416666666666,2020
Good Days,Good Days,SZA,r&b,78,True,2020-12-25,279204,39.0,4.6534,2020
Heartbreak Anniversary,TAKE TIME,GIVĒON,r&b,80,False,2020-03-27,198370,40.0,3.3061666666666665,2020
Levitating,Future Nostalgia,Dua Lipa,pop,83,False,2020-03-27,203807,41.5,3.3967833333333335,2020
Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,rap,79,True,2020-08-14,261492,39.5,4.3582,2020
Rehab (Winter In Paris),Fuck The World,Brent Faiyaz,r&b,75,True,2020-02-07,180303,37.5,3.00505,2020
Conversations,Legends Never Die,Juice WRLD,melodic rap,76,True,2020-07-10,181661,38.0,3.0276833333333335,2020
Knockin' Boots,Born Here Live Here Die Here,Luke Bryan,country,73,False,2020-08-07,200066,36.5,3.334433333333333,2020
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,brooklyn drill,79,True,2020-07-03,160000,39.5,2.6666666666666665,2020
Pieces,Turn Back Time,Muscadine Bloodline,red dirt,72,False,2020-07-10,196306,36.0,3.2717666666666667,2020
I'm God,Instrumental Relics,Clams Casino,cloud rap,79,False,2020-04-24,277710,39.5,4.6285,2020
November Air,"Quiet, Heavy Dreams",Zach Bryan,country,73,False,2020-11-27,243709,36.5,4.061816666666667,2020
4K,4K,El Alfa,dembow,80,False,2020-03-12,201500,40.0,3.3583333333333334,2020
Hawái,PAPI JUANCHO,Maluma,reggaeton,84,False,2020-08-21,199112,42.0,3.3185333333333333,2020
Our Time,Virgo World,Lil Tecca,melodic rap,76,True,2020-09-18,98413,38.0,1.6402166666666667,2020
That Just Isn't Empirically Possible,Stop Staring At the Shadows,$uicideboy$,emo rap,73,True,2020-02-14,123902,36.5,2.0650333333333335,2020
Way Maker,Way Maker,Leeland,worship,75,False,2020-02-14,206440,37.5,3.4406666666666665,2020
La Santa,YHLQMDLG,Bad Bunny,reggaeton,83,True,2020-02-29,206420,41.5,3.4403333333333332,2020
Selfless,The New Abnormal,The Strokes,garage rock,78,False,2020-04-10,222093,39.0,3.70155,2020
Time Flies,Dark Lane Demo Tapes,Drake,rap,77,True,2020-05-01,192931,38.5,3.215516666666667,2020
Stay High,Legends Never Die,Juice WRLD,melodic rap,76,True,2020-07-10,168684,38.0,2.8114,2020
Free Mind,For Broken Ears,Tems,afrobeats,76,False,2020-09-25,247578,38.0,4.1263,2020
Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,Drake,rap,76,True,2020-05-01,149077,38.0,2.4846166666666667,2020
"Twinkle, Twinkle, Little Star",Frère Jacques,Adelmar Borrego,lullaby,77,False,2020-01-31,100562,38.5,1.6760333333333333,2020
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,brooklyn drill,78,True,2020-07-03,190476,39.0,3.1746,2020
Brahms Lullaby,Baby Sleep Music,Lullaby Time,lullaby,84,False,2020-06-19,106084,42.0,1.7680666666666667,2020
FRANCHISE (feat. Young Thug & M.I.A.),FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,rap,78,True,2020-09-25,202794,39.0,3.3799,2020
Too Comfortable,High Off Life,Future,rap,74,True,2020-05-15,236818,37.0,3.9469666666666665,2020
One More Hour,The Slow Rush,Tame Impala,neo-psychedelic,76,False,2020-02-14,432560,38.0,7.209333333333333,2020
Honeypie,For Abby,JAWNY,bedroom pop,80,False,2020-10-27,135581,40.0,2.2596833333333333,2020
DÁKITI,DÁKITI,Bad Bunny,reggaeton,82,True,2020-10-30,205090,41.0,3.4181666666666666,2020
DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,81,True,2020-11-27,205090,40.5,3.4181666666666666,2020
Con Tus Besos,Tu Veneno Mortal,Eslabon Armado,corridos tumbados,75,True,2020-04-06,226821,37.5,3.78035,2020
Si Veo a Tu Mamá,YHLQMDLG,Bad Bunny,reggaeton,81,False,2020-02-29,170971,40.5,2.8495166666666667,2020
positions,Positions,Ariana Grande,pop,81,True,2020-10-30,172324,40.5,2.8720666666666665,2020
Pensándote,Afrodisíaco,Rauw Alejandro,reggaeton,75,True,2020-11-13,216413,37.5,3.606883333333333,2020
CÓMO SE SIENTE - Remix,CÓMO SE SIENTE (Remix),JHAYCO,reggaeton,80,True,2020-05-09,227520,40.0,3.792,2020
PERSIAN RUGS,PARTYPACK,PARTYNEXTDOOR,dark r&b,73,True,2020-10-16,174306,36.5,2.9051,2020
Go Crazy,Slime & B,Chris Brown,r&b,76,True,2020-05-08,176960,38.0,2.949333333333333,2020
Hasta Que Dios Diga,Emmanuel,Anuel AA,reggaeton,81,True,2020-05-29,246000,40.5,4.1,2020
La Curiosidad,Platonicos,Jay Wheeler,reggaeton,82,False,2020-06-12,219048,41.0,3.6508,2020
Safaera,YHLQMDLG,Bad Bunny,reggaeton,79,True,2020-02-29,295176,39.5,4.9196,2020
Dynamite,BE,BTS,k-pop,82,False,2020-11-20,199053,41.0,3.31755,2020
Dile a El,Afrodisíaco,Rauw Alejandro,reggaeton,77,True,2020-11-13,209540,38.5,3.4923333333333333,2020
Higher,For Broken Ears,Tems,afrobeats,75,False,2020-09-25,196204,37.5,3.2700666666666667,2020
Higher Love,Golden Hour,Kygo,tropical house,77,False,2020-05-29,228267,38.5,3.80445,2020
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,brooklyn drill,78,True,2020-07-03,213333,39.0,3.55555,2020
If You Love Her,If You Love Her,Forest Blakk,spoken word,76,False,2020-09-30,217351,38.0,3.622516666666667,2020
Break My Heart,Future Nostalgia,Dua Lipa,pop,80,False,2020-03-27,221820,40.0,3.697,2020
El Doble R,Cruzando Fronteras,Los Alegres Del Barranco,corrido,76,False,2020-02-23,155967,38.0,2.59945,2020
God’s Menu,GO LIVE,Stray Kids,k-pop,78,False,2020-06-17,167922,39.0,2.7987,2020
Essence (feat. Tems),Made In Lagos,Wizkid,afrobeats,75,False,2020-10-29,248040,37.5,4.134,2020
34+35,Positions,Ariana Grande,pop,78,True,2020-10-30,173710,39.0,2.895166666666667,2020
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,dance pop,80,False,2020-07-03,166028,40.0,2.7671333333333332,2020
Life Is Good (feat. Drake),High Off Life,Future,rap,75,True,2020-05-15,237918,37.5,3.9653,2020
Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,Bring Me The Horizon,metalcore,77,True,2020-10-30,220041,38.5,3.66735,2020
Over,Whole Lotta Red,Playboi Carti,rage rap,73,True,2020-12-25,166234,36.5,2.770566666666667,2020
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,pop,82,False,2020-05-08,228482,41.0,3.8080333333333334,2020
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,brooklyn drill,75,True,2020-07-20,190534,37.5,3.1755666666666666,2020
You're All I Want,You're All I Want,Cigarettes After Sex,dream pop,76,True,2020-05-13,264453,38.0,4.40755,2020
Still With You,Still With You,Jung Kook,k-pop,82,False,2020-06-05,239905,41.0,3.9984166666666665,2020
Intro,Cruisin' with Junior H,Junior H,corridos tumbados,75,False,2020-09-02,240388,37.5,4.006466666666666,2020
Se Amerita,Cruisin' with Junior H,Junior H,corridos tumbados,76,False,2020-09-02,235858,38.0,3.9309666666666665,2020
El Tóxico,El Tóxico,Grupo Firme,banda,78,False,2020-10-27,179745,39.0,2.99575,2020
Dancing With A Stranger (with Normani),Love Goes,Sam Smith,soft pop,78,False,2020-10-30,171029,39.0,2.8504833333333335,2020
Vamp Anthem,Whole Lotta Red,Playboi Carti,rage rap,73,True,2020-12-25,124093,36.5,2.068216666666667,2020
Psicodelica,MUSICA <3,Junior H,corridos tumbados,75,False,2020-09-02,253605,37.5,4.22675,2020
Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,edm,75,False,2020-05-01,172761,37.5,2.87935,2020
Stay With Me,Stay With Me,1nonly,phonk,76,True,2020-10-11,141505,38.0,2.358416666666667,2020
Yo Perreo Sola,YHLQMDLG,Bad Bunny,reggaeton,76,True,2020-02-29,172127,38.0,2.8687833333333335,2020
LA NOCHE DE ANOCHE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,79,False,2020-11-27,203200,39.5,3.3866666666666667,2020
The Difference,The Difference,Flume,future bass,72,False,2020-03-11,139662,36.0,2.3277,2020
Shinunoga E-Wa,HELP EVER HURT NEVER,Fujii Kaze,j-pop,79,False,2020-05-20,185573,39.5,3.0928833333333334,2020
Palabra de Hombre,Guárdame Esta Noche,El Fantasma,corrido,74,False,2020-09-11,196099,37.0,3.2683166666666668,2020
Una Vez,YHLQMDLG,Bad Bunny,reggaeton,80,True,2020-02-29,232496,40.0,3.8749333333333333,2020
Physical,Future Nostalgia,Dua Lipa,pop,78,False,2020-03-27,193829,39.0,3.2304833333333334,2020
A Tu Merced,YHLQMDLG,Bad Bunny,reggaeton,79,False,2020-02-29,175918,39.5,2.931966666666667,2020
Love Again,Future Nostalgia,Dua Lipa,pop,79,False,2020-03-27,258004,39.5,4.300066666666667,2020
Invincible,Meet The Woo 2,Pop Smoke,brooklyn drill,75,True,2020-02-07,127546,37.5,2.125766666666667,2020
Clave Ali,Cruisin' with Junior H,Junior H,corridos tumbados,73,False,2020-09-02,201872,36.5,3.364533333333333,2020
Baianá,The Ringmaster,Bakermat,tropical house,67,False,2020-10-09,180842,33.5,3.0140333333333333,2020
Vete,YHLQMDLG,Bad Bunny,reggaeton,75,True,2020-02-29,192024,37.5,3.2004,2020
Fire On Fire,Love Goes,Sam Smith,soft pop,79,False,2020-10-30,246735,39.5,4.11225,2020
Dias Nublados,MUSICA <3,Junior H,corridos tumbados,75,False,2020-09-02,221887,37.5,3.6981166666666665,2020
Harleys In Hawaii,Smile,Katy Perry,pop,78,False,2020-08-28,185480,39.0,3.0913333333333335,2020
Reloj,Afrodisíaco,Rauw Alejandro,reggaeton,75,True,2020-11-13,231594,37.5,3.8599,2020
Promises (feat. Joe L Barnes),"Maverick City Music, Vol. 3: Pt. 1",Maverick City Music,worship,69,False,2020-04-17,646239,34.5,10.77065,2020
Mente Positiva,Atrapado en un Sueño,Junior H,corridos tumbados,73,True,2020-03-27,192390,36.5,3.2065,2020
Algo Mágico,Afrodisíaco,Rauw Alejandro,reggaeton,77,False,2020-11-13,261603,38.5,4.36005,2020
Despeinada,ENOC,Ozuna,reggaeton,79,False,2020-09-04,224186,39.5,3.7364333333333333,2020
Bichiyal,YHLQMDLG,Bad Bunny,reggaeton,76,True,2020-02-29,196500,38.0,3.275,2020
Ocean Drive,Duality,Duke Dumont,house,78,False,2020-04-17,206320,39.0,3.4386666666666668,2020
El Envidioso,Al Estilo Rancheron,Los Dos Carnales,corrido,72,False,2020-07-10,191994,36.0,3.1999,2020
Cabrón y Vago - En Vivo,"Puerta Abierta, Vol. 1 (En Vivo)",El Fantasma,corrido,73,False,2020-07-31,142064,36.5,2.3677333333333332,2020
Freak Show,Freak Show,H3artcrush,hyperpop,72,True,2020-06-09,125387,36.0,2.0897833333333335,2020
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,hyperpop,73,True,2020-07-27,145612,36.5,2.4268666666666667,2020
Ponte Pa' Mi,Afrodisíaco,Rauw Alejandro,reggaeton,74,True,2020-11-13,183556,37.0,3.059266666666667,2020
TE MUDASTE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,75,True,2020-11-27,130013,37.5,2.1668833333333333,2020
La Difícil,YHLQMDLG,Bad Bunny,reggaeton,75,True,2020-02-29,163084,37.5,2.7180666666666666,2020
Tú,Tú,Los Elegantes de Jerez,norteño-sax,71,False,2020-02-24,194266,35.5,3.2377666666666665,2020
The Business,The Business,Tiësto,edm,77,False,2020-09-16,164000,38.5,2.7333333333333334,2020
El Amor de Mi Vida,30 Aniversario,La Adictiva,banda,74,False,2020-11-13,208160,37.0,3.469333333333333,2020
BOOKER T,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,78,True,2020-11-27,156430,39.0,2.6071666666666666,2020
紅蓮華,LEO-NiNE,LiSA,anime,76,False,2020-10-14,237586,38.0,3.959766666666667,2020
El Comerciante,Sigue La Magia Dando,Grupo Marca Registrada,corrido,72,False,2020-04-10,245376,36.0,4.0896,2020
Renegade,The Arrival,Aaryan Shah,dark r&b,78,False,2020-01-03,222576,39.0,3.7096,2020
25/8,YHLQMDLG,Bad Bunny,reggaeton,75,False,2020-02-29,243275,37.5,4.054583333333333,2020
El Amor De Tu Vida,El Amor De Tu Vida,Carín León,banda,75,False,2020-08-17,163223,37.5,2.7203833333333334,2020
Te Irá Mejor Sin Mí,Mi Mexico Querido,Joan Sebastian,banda,75,False,2020-04-10,176431,37.5,2.9405166666666664,2020
Tattoo - Remix with Camilo,Afrodisíaco,Rauw Alejandro,reggaeton,77,False,2020-11-13,222680,38.5,3.711333333333333,2020
Tu - En Vivo,"Encerrados Pero Enfiestados, Vol. 1 (En Vivo)",Carín León,banda,74,False,2020-05-22,246131,37.0,4.1021833333333335,2020
HACIENDO QUE ME AMAS,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,78,True,2020-11-27,217768,39.0,3.6294666666666666,2020
Ojitos de Miel,Our Wave Nuestra Ola,T3R Elemento,corrido,73,False,2020-10-30,239497,36.5,3.991616666666667,2020
Como Panas,Bendecido,Bryant Myers,trap latino,78,False,2020-10-30,198997,39.0,3.3166166666666665,2020
Inolvidable,Inolvidable,Ovy On The Drums,reggaeton,78,False,2020-01-15,225812,39.0,3.763533333333333,2020
Y Que Fue?,Y Que Fue?,Don Miguelo,dembow,83,False,2020-07-29,163759,41.5,2.7293166666666666,2020
Piel Con Piel,Piel Con Piel,La Santa Grifa,mexican hip hop,73,True,2020-04-17,243920,36.5,4.065333333333333,2020
PORFA,FERXXO (VOL 1: M.O.R),Feid,reggaeton,77,False,2020-04-23,232653,38.5,3.87755,2020
Girl,Easy Money Baby,Myke Towers,reggaeton,78,True,2020-01-24,186426,39.0,3.1071,2020
Volando,Volando,Lefty Sm,mexican hip hop,71,True,2020-11-16,218000,35.5,3.6333333333333333,2020
Piensan,Easy Money Baby,Myke Towers,reggaeton,79,True,2020-01-24,173451,39.5,2.89085,2020
Daechwita,D-2,Agust D,k-pop,77,True,2020-05-22,225668,38.5,3.7611333333333334,2020
Cada Noche,Cada Noche,Jauria Santa,mexican hip hop,72,True,2020-06-01,205607,36.0,3.4267833333333333,2020
La Casita,El Trabajo Es La Suerte,Banda MS de Sergio Lizárraga,banda,71,False,2020-08-14,217600,35.5,3.6266666666666665,2020
En Peligro de Extinción,30 Aniversario,La Adictiva,banda,74,False,2020-11-13,234000,37.0,3.9,2020
La Mitad,Por Primera Vez,Camilo,colombian pop,76,False,2020-04-17,177791,38.0,2.9631833333333333,2020
China,Emmanuel,Anuel AA,reggaeton,73,False,2020-05-29,301714,36.5,5.028566666666666,2020
Dark Side Of The Moon,Dark Side Of The Moon,suisside,emo rap,70,True,2020-11-30,168572,35.0,2.8095333333333334,2020
Life Goes On,BE,BTS,k-pop,78,False,2020-11-20,207481,39.0,3.4580166666666665,2020
Secreto,Emmanuel,Anuel AA,reggaeton,72,False,2020-05-29,259891,36.0,4.3315166666666665,2020
No Me Pesa,Cruisin' with Junior H,Junior H,corridos tumbados,70,False,2020-09-02,221813,35.0,3.6968833333333335,2020
Que Malo,YHLQMDLG,Bad Bunny,reggaeton,75,True,2020-02-29,167975,37.5,2.7995833333333335,2020
Besalo,El Androide,El Alfa,dembow,73,True,2020-05-15,163265,36.5,2.7210833333333335,2020
Given-Taken,BORDER : DAY ONE,ENHYPEN,k-pop,73,False,2020-11-30,183090,36.5,3.0515,2020
Aquí Abajo,AYAYAY! (Deluxe),Christian Nodal,banda,73,False,2020-09-11,143933,36.5,2.3988833333333335,2020
Caramelo - Remix,ENOC,Ozuna,reggaeton,73,False,2020-09-04,233160,36.5,3.886,2020
Booster Seat,Sunlight,Spacey Jane,surf rock,69,False,2020-06-12,268880,34.5,4.481333333333334,2020
Morado,Colores,J Balvin,reggaeton,74,False,2020-03-19,200266,37.0,3.3377666666666665,2020
Hecha Pa' Mi,Más Negro Que Rojo,Boza,reggaeton,79,False,2020-07-31,186133,39.5,3.1022166666666666,2020
Soliá,YHLQMDLG,Bad Bunny,reggaeton,75,True,2020-02-29,159282,37.5,2.6547,2020
Mi Carta,Mi Carta,Beéle,latin afrobeats,75,False,2020-08-06,184920,37.5,3.082,2020
Bandido,Bandido,Myke Towers,reggaeton,75,False,2020-12-10,232853,37.5,3.8808833333333332,2020
CANCIÓN CON YANDEL,LAS QUE NO IBAN A SALIR,Yandel,reggaeton,72,True,2020-05-10,209180,36.0,3.4863333333333335,2020
Escondidos,30 Aniversario,La Adictiva,banda,73,False,2020-11-13,191893,36.5,3.1982166666666667,2020
Bayside - Radio Edit,Bayside,Obskür,rally house,71,False,2020-11-09,197419,35.5,3.2903166666666666,2020
120,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,78,True,2020-11-27,151506,39.0,2.5251,2020
Peaceful Sleep,Baby Sleep Music,Lullaby Time,lullaby,76,False,2020-06-19,135341,38.0,2.2556833333333333,2020
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,k-pop,73,False,2020-03-13,214258,36.5,3.5709666666666666,2020
Seca Tus Lagrimas,Corazon Tumbado,Natanael Cano,corridos tumbados,70,False,2020-02-14,116455,35.0,1.9409166666666666,2020
Rojo,Colores,J Balvin,reggaeton,74,False,2020-03-19,150720,37.0,2.512,2020
I CAN'T STOP ME,Eyes Wide Open,TWICE,k-pop,73,False,2020-10-26,205493,36.5,3.4248833333333333,2020
La Zona,YHLQMDLG,Bad Bunny,reggaeton,72,True,2020-02-29,136892,36.0,2.2815333333333334,2020
Olalla,On the Other Side,Blanco White,indie folk,71,False,2020-06-05,248160,35.5,4.136,2020
Black Swan,MAP OF THE SOUL : 7,BTS,k-pop,73,False,2020-02-21,198260,36.5,3.304333333333333,2020
MMXX's,MMXX's,Virlan Garcia,banda,75,False,2020-03-13,179583,37.5,2.99305,2020
Valhalla Calling,Level 11,Miracle Of Sound,sea shanties,71,False,2020-12-22,222563,35.5,3.7093833333333333,2020
Te Esperé,Aire (Versión Día),Jesse & Joy,latin pop,76,False,2020-05-08,216000,38.0,3.6,2020
Extasy,Para Mi Ex,Myke Towers,reggaeton,77,True,2020-12-15,187191,38.5,3.11985,2020
Hace Mucho Tiempo,Hace Mucho Tiempo,Ele A El Dominio,trap latino,77,False,2020-03-06,262079,38.5,4.367983333333333,2020
Ignorantes,YHLQMDLG,Bad Bunny,reggaeton,73,True,2020-02-29,210606,36.5,3.5101,2020
Kemba Walker,Sauce Boyz,Eladio Carrion,trap latino,72,True,2020-01-31,152960,36.0,2.5493333333333332,2020
Elegí (feat. Dímelo Flow),Elegí (feat. Dímelo Flow),Rauw Alejandro,reggaeton,73,False,2020-03-26,197721,36.5,3.29535,2020
La Barda,La Barda,Grupo 360,corrido,70,True,2020-10-23,268405,35.0,4.473416666666667,2020
ANTES QUE SE ACABE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,73,False,2020-11-27,221186,36.5,3.6864333333333335,2020
Algo Que Se Quede,40,Grupo Niche,salsa,74,False,2020-05-29,220135,37.0,3.6689166666666666,2020
TE DESEO LO MEJOR,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,72,True,2020-11-27,139576,36.0,2.3262666666666667,2020
3 Am,Sauce Boyz,Eladio Carrion,trap latino,75,True,2020-01-31,208236,37.5,3.4706,2020
Una Locura,ENOC,Ozuna,reggaeton,73,False,2020-09-04,230693,36.5,3.844883333333333,2020
El Mismo Aire - con Pablo Alborán,El Mismo Aire (con Pablo Alborán),Camilo,colombian pop,76,False,2020-06-10,188213,38.0,3.1368833333333335,2020
Pablo & Silas,Pablo & Silas,Oasis Ministry,worship,68,False,2020-06-15,370520,34.0,6.175333333333334,2020
Diosa,Easy Money Baby,Myke Towers,reggaeton,74,True,2020-01-24,214013,37.0,3.566883333333333,2020
Está Cabrón Ser Yo,YHLQMDLG,Bad Bunny,reggaeton,72,True,2020-02-29,227939,36.0,3.798983333333333,2020
Tus Mentiras,Tus Mentiras,Grupo Cumbia Nova,cumbia sonidera,73,False,2020-07-03,253884,36.5,4.2314,2020
Piel Canela,Piel Canela,Cuco,bedroom pop,70,False,2020-09-24,102371,35.0,1.7061833333333334,2020
La Forma en Que Me Miras,Eternity,Super Yei,reggaeton,75,False,2020-04-20,307435,37.5,5.123916666666666,2020
Paso En Culiacan,Paso En Culiacan,Junior H,corridos tumbados,70,False,2020-06-25,275659,35.0,4.594316666666667,2020
Es Que Yo Te Quiero A Ti,Es Que Yo Te Quiero A Ti,Kevin Kaarl,latin folk,72,False,2020-11-13,323625,36.0,5.39375,2020
SORRY PAPI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,reggaeton,72,True,2020-11-27,163053,36.0,2.71755,2020
Relación,1 of 1,Sech,reggaeton,70,False,2020-05-21,184254,35.0,3.0709,2020
<3,YHLQMDLG,Bad Bunny,reggaeton,73,False,2020-02-29,157967,36.5,2.6327833333333333,2020
00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,k-pop,72,False,2020-02-21,250295,36.0,4.171583333333333,2020
Rock-a-Bye Baby,"CoComelon Kids Hits, Vol. 2",CoComelon,children's music,66,False,2020-01-24,130496,33.0,2.174933333333333,2020
Un Hombre con Suerte,Eres Vida,Duelo,grupera,69,False,2020-10-02,204545,34.5,3.4090833333333332,2020
Cerrando Ciclos,El Trabajo Es La Suerte,Banda MS de Sergio Lizárraga,banda,69,False,2020-08-14,195453,34.5,3.25755,2020
WANNABE,IT'z ME,ITZY,k-pop,71,False,2020-03-09,191242,35.5,3.1873666666666667,2020
Arriba,Arriba,Natanael Cano,corridos tumbados,69,True,2020-05-05,174642,34.5,2.9107,2020
Si Me Dices Que Sí,Si Me Dices Que Sí,Reik,latin pop,72,False,2020-02-18,211651,36.0,3.5275166666666666,2020
Cuando Fue,Platonicos,Jay Wheeler,reggaeton,70,False,2020-06-12,184420,35.0,3.0736666666666665,2020
Te Extraño,Buen Viaje,Ovi,corridos tumbados,68,False,2020-10-02,205161,34.0,3.41935,2020
La Última Canción,LA ISLA LP,Rels B,urbano latino,77,False,2020-12-26,184748,38.5,3.0791333333333335,2020
